Importo;Importo Scontato;Imponibile;Imposta; Iva % ;Sconto %;Valore sconto;TipoDocumento;sep;Importo;Importo Scontato;Imponibile;Imposta; Iva % ;Sconto %;Valore sconto;TipoDocumento;;Contante;eletronico;credito;totale;resto;;;4;10;22;N1;N2;N3;N4;N5;N6;;4;10;22;N1;N2;N3;N4;N5;N6;;4;10;22;N1;N2;N3;N4;N5;N6
-1,5;-1,5;-1,23;-0,27;22;0;0;DC;0;-15;-15;-13,64;-1,36;10;0;0;DC;;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;-16,5;-14,87;-1,63;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;2;3;11,5;-16,5;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
15,05;15,05;13,68;1,37;10;0;0;DC;0;98,5;98,5;80,74;17,76;22;0;0;DC;;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;113,55;94,42;19,13;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;0,55;100;13;113,55;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
150,55;135,5;123,18;12,32;10;10;15,06;DC;0;81,5;73,35;60,12;13,23;22;10;8,15;DC;;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;208,85;183,3;25,55;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;100;50;58,85;208,85;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;590,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;782,62;;;;;;;;;19,36;;;;;;;;;;;;;;Importo;114,36;5,2;155,55;42,3;40,61;1;49,5;136,05;45,7;;50;0;150;0;0;0;0;0;0;;0;0;0;42,3;40,61;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;imponibile;109,96;4,73;127,5;0;0;0;0;0;0;;48,08;0;122,95;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
IVA;4;10;22;EE;NS;NI;ES;RM;AL;;;;;;;;;;;;;;;Iva o Natura;4;10;22;0;0;0;0;0;0;;4;10;22;0;0;0;0;0;0;;4;10;22;0;0;0;0;0;0
Imposta;2,48;7,41;18,76;0;0;0;0;0;0;;;;;;;;;;;;;;;Imposta;4,4;0,47;28,05;0;0;0;0;0;0;;1,92;0;27,05;0;0;0;0;0;0;;0;0;0;42,3;40,61;0;0;0;0
Imponibile;109,96;74,14;208,24;42,3;55,05;160;42,3;40,61;50,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annulli;48,07692308;0;122,9508197;0;0;0;0;0;0;;;;;;;;;;;;;;;Imposta Calcolata;2,48;0,47;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Resi;0;0;0;42,3;0;0;0;40,61;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
